timestamp_hkt,stage,observation_or_problem,action_or_experiment,result,decision
2026-09-13 00:40,Proposal review,Proposal (submitted 9 Sep) ranks events into deciles within each quarter and lets Rule B trade at the close that generates its signal; both use information not available at decision time.,Re-read methodology against the brief's leakage criteria.,Within-quarter decile cutoffs are only known after the quarter ends; a close-above-high signal can only be acted on at the next session's open.,Selection will use a threshold known ex ante (trailing distribution or fixed abnormal-return cutoff); all entries execute at the next open after the signal close. Recorded as a change from the proposal.
2026-09-13 00:45,Environment,Pre-run environment check: disk had 2.4 GiB free; pandas/numpy not installed; network not yet verified for the brief's access rules.,"Checked IP, disk, Python, git and GitHub CLI before any API work.","Disk nearly full, scientific stack missing.","Created a uv-managed venv; candidate freed disk; API client built with a pre-flight guard (geo check configurable via REQUIRE_HK_IP), header-only key auth and no key in URLs or logs. Candidate uses his own purchased Massive subscription rather than the club key (disclosed in README)."
2026-09-13 00:50,Data investigation,"Massive docs: 8-K Disclosures and SEC EDGAR Index endpoints expose filing_date only, no time of day; Ticker Events supports only ticker_change events.",Read the full Massive REST docs dump for every endpoint named in the proposal.,"The proposal's plan to classify before-open vs after-close reports from Massive 8-K timestamps is infeasible; delistings must come from All Tickers active=false (delisted_utc), not Ticker Events.","Announcement time will come from SEC EDGAR submissions JSON acceptanceDateTime (free, public, point-in-time) for 8-Ks whose items include 2.02; delistings from All Tickers. Change from proposal."
2026-09-13 00:55,Data investigation,Disk budget rules out tick-level NBBO quotes for spread estimation.,Sized quote data against free disk.,Infeasible.,Transaction costs will use the Corwin-Schultz high-low spread estimator from daily bars plus a fixed commission assumption; reported gross and net. Change from proposal.
2026-09-13 01:00,Data investigation,Probed the account with one call per endpoint (scripts/probe_access.py).,"Daily Market Summary 2004/2010/2016/2026, tickers point-in-time, splits, dividends, income statements, quotes, Benzinga earnings, 8-K disclosures, EDGAR index.",Full price history from 2004 available; splits/dividends/income statements OK; Benzinga Earnings returned HTTP 403 (not entitled); 8-K Disclosures start 2020-01-02.,"Sample period can start in 2005 (Item 2.02 numbering began Aug 2004). Benzinga is unavailable, so EDGAR acceptance timestamps are the primary event source, not a fallback. EPS surprise, if used, must come from Income Statements."
2026-09-13 01:03,Data investigation,Massive 8-K Disclosures taxonomy label for earnings is quarterly_earnings; on 2024-01-25 (peak season) only 9 of 205 classified filings carried it.,Pulled the 119-row taxonomy and category counts for a known heavy earnings day.,The endpoint badly undercounts earnings releases even after 2020 and cannot define the event sample.,Do not use Massive 8-K Disclosures as the event source; EDGAR Item 2.02 is used throughout. Change from proposal.
2026-09-13 01:05,Data acquisition,"Need point-in-time, survivorship-free prices with explicit adjustment.","Downloading Daily Market Summary with adjusted=false for every weekday 2004-2026 (about 5,900 calls, parquet per year), All Tickers (active and delisted, 36,588 rows), Splits (27,541 rows).",About 35 MB per year; SPY present on every day; 0 failed calls so far.,"Store unadjusted bars and apply split factors ourselves (product of split_from/split_to for later splits), so price filters use true historical price levels and the adjustment is testable."
2026-09-13 01:10,Data quality,Compared our cumulative split factors with the vendor's historical_adjustment_factor and our adjusted closes with vendor-adjusted per-ticker aggregates for nine split tickers.,"Local factor comparison over 18,628 tickers; API cross-check on 2004-2008 closes.","Factors match for all but 132 tickers, all of which are same-day double splits where only row order differs; adjusted closes match on split days, but 0.2-1% of days show >1% differences between the two vendor endpoints (unrelated to splits).",Keep our adjustment; use the grouped endpoint consistently for all returns; add tests/test_prices.py and tests/test_api_crosscheck.py; note the endpoint discrepancy as a data-quality limitation.
2026-09-13 01:07,Data acquisition,EDGAR submissions at one request per 0.11 s achieved under 1 request/s because each response takes 0.4-2 s.,Restarted the EDGAR job with 8 threads behind a shared 9 req/s limiter (within the SEC's 10 req/s rule).,"About 3.8 CIKs/s; 9,679 unique CIKs for 11,929 US common-stock tickers; roughly 70 Item 2.02 8-Ks per company.",Proceed; record per-CIK coverage so the report can state how many tickers lack a CIK or filings.
2026-09-13 02:10,Design,"Six-lens review of the proposal (methodology, data feasibility, brief compliance, execution, interviewer, literature) found that Rule A exceeds Rule B by construction on every breakout event, because A's return equals the pre-breakout run-up times B's post-breakout leg.","Re-derived the identity A = (P_k/P_1) x (P_T/P_k), B = P_T/P_k with P_k > high_0 >= P_1.","B > A can only arise from non-breakout events doing badly; the proposal's headline test measures a momentum filter, not the timing of drift.",Primary test changed to a within-event decomposition (per-day abnormal return before vs after breakout) with fixed-delay and unanchored-level controls and a matched non-earnings placebo; B vs A retained as a secondary result. Recorded as change from proposal; see docs/PLAN.md.
