label,n_events,share_entered_B,median_k,CAR_A,CAR_A_lo,CAR_A_hi,CAR_B,CAR_B_lo,CAR_B_hi,B_minus_A,B_minus_A_lo,B_minus_A_hi,C_minus_A,C_minus_A_lo,C_minus_A_hi,D1_minus_A,D1_minus_A_lo,D1_minus_A_hi,D2_minus_A,D2_minus_A_lo,D2_minus_A_hi,D3_minus_A,D3_minus_A_lo,D3_minus_A_hi,perday_post,perday_post_lo,perday_post_hi,perday_A,perday_A_lo,perday_A_hi,PRIMARY_post_minus_matched,PRIMARY_lo,PRIMARY_hi,matched_control_perday,W,H,m_fixed
selection_2005_2014,4803,0.49760566312721216,1.0,0.005346804232138856,-0.0007466063298853854,0.011692923300403987,0.0008396991662806179,-0.0023225566785498564,0.0042284323142380035,-0.004507105065858237,-0.008264904986096559,-0.0007263078894477722,-0.0011324634259651074,-0.002451176494560635,0.00014866402330154156,-0.0024801501625525135,-0.005231415538192754,0.00023315656612597828,-0.005222836836787084,-0.010072293984350559,-0.000412188218250787,-0.005042141827089729,-0.009245923152903103,-0.0006232201373251658,8.308976856096849e-05,-0.00026694396996075745,0.00045528768285972175,0.0002673402116069428,-3.733031649426927e-05,0.0005846461650201993,-0.00015296924422451814,-0.0003258029625330585,2.137532787508506e-05,0.00023605901278548664,5,20,1
holdout_2015_2026,9966,0.5151515151515151,1.0,0.001779471167733106,-0.006846860372090557,0.010582188176745588,0.00031716847314991676,-0.0034550515665443928,0.004225191276178744,-0.0014623026945831902,-0.006898894424882951,0.004023445332394857,0.0002549673325053948,-0.0015555840126126879,0.001934301455181763,-0.0005546236637906504,-0.004509055605664648,0.003421410959127122,-0.0013274712073099676,-0.007720367869439475,0.0052461872946600215,-0.0013465245176598208,-0.007432020037292905,0.004839228594632461,3.8728059545372816e-05,-0.00036293111658751805,0.0004478694429095874,8.897355838665532e-05,-0.00034234301860452786,0.0005291094088372795,-0.0001505042170785474,-0.00032819226993582585,1.994494627437601e-05,0.00018923227662392026,5,20,1
selection_2005_2014,4803,0.49760566312721216,1.0,0.014259629106683174,0.005658628493092489,0.023468995424159162,0.004703101906917266,0.00028290840195180735,0.009348677659641697,-0.009556527199765906,-0.015119501073182417,-0.004289538653882167,-0.001133041275213983,-0.00250672106685666,0.000173668105932244,-0.004766578065894927,-0.008202902789392764,-0.0014116510284347993,-0.012187117669957701,-0.019371898858189792,-0.005289137984577667,-0.011377732840454033,-0.017312148668411045,-0.005509427387848633,0.00024269595856619356,9.755860267485547e-06,0.00048310162897120373,0.00035649072766707937,0.00014146571232731225,0.0005867248856039791,-0.00012489280010629598,-0.00023104531172622053,-1.7114469806146303e-05,0.0003675887586724895,5,40,1
holdout_2015_2026,9966,0.5151515151515151,1.0,0.0012290980860752226,-0.012926742340962066,0.015492887110560667,0.0008008942399673922,-0.00623923786625124,0.008043688718158602,-0.00042820384610782935,-0.008111437521119091,0.007395856338009986,0.0002682759710192384,-0.00151689189692969,0.0020019816421629213,0.0004042822534325301,-0.00476213260226639,0.005680608860966054,-0.00020634389660982398,-0.00965100563931072,0.009353743874879555,-0.0007232944678656311,-0.009199417015293934,0.008084942065111051,4.418236670962543e-05,-0.0003143773164352813,0.0004122995540664972,3.072745215188053e-05,-0.0003231685585240517,0.00038732217776401667,-2.0350033349330543e-05,-0.00010350028379523412,6.228565348516738e-05,6.453240005895596e-05,5,40,1
selection_2005_2014,4803,0.49760566312721216,1.0,0.009896746779118476,-0.003602659803669749,0.024050421882768437,0.002916735692382582,-0.0037777888455143554,0.009610297425263772,-0.006980011086735894,-0.015284260369747527,0.0006619553892548334,-0.0011109503314206393,-0.002473697590595872,0.00017935436097649414,-0.0035974038706415423,-0.008730870033446464,0.0014516448361207154,-0.008471948154281334,-0.01938134711433734,0.0019930564808213177,-0.009511546358189496,-0.018124694712058697,-0.0007961834060333912,9.871885093307223e-05,-0.00013551280435564406,0.00032690621354487657,0.0001649457796519746,-6.004433006116247e-05,0.0004008403647128074,-6.647426683457439e-05,-0.00015524570140500602,1.926277560279716e-05,0.00016519311776764658,5,60,1
holdout_2015_2026,9966,0.5151515151515151,1.0,-0.0015999487366228908,-0.01930967404373176,0.017294892041207505,0.00029032994438044546,-0.009194540683240798,0.010402312742480227,0.0018902786810033381,-0.007617156230996098,0.01112212804506132,0.00037236462485599965,-0.0014524949874496383,0.002158207189892629,0.002006907300268611,-0.003980461363022538,0.007863103975077277,0.0030370269159444474,-0.008972245173550197,0.014578782147380016,0.0025095149611874482,-0.008131844157891942,0.01286806876193707,1.2870958113503471e-05,-0.0003023374290862135,0.0003501672890390821,-2.666581227704818e-05,-0.0003218279007288627,0.00028824820068679185,2.538929227108628e-05,-5.041032868133173e-05,0.00010111622514271137,-1.2518334157582789e-05,5,60,1
selection_2005_2014,4803,0.603372891942536,2.0,0.005346804232138856,-0.0007466063298853854,0.011692923300403987,0.0009539995384268156,-0.0024708193449852855,0.004536555042348925,-0.00439280469371204,-0.007860340077901566,-0.0009359928145529566,-0.0025115173167527265,-0.004294043682120488,-0.000852533040782151,-0.002350959755618751,-0.004788737693047298,9.392111322669188e-05,-0.005277909964433958,-0.009729547038966615,-0.0007495620138860215,-0.0050381369060535156,-0.008926803832677131,-0.0010217247405228452,8.384707500680225e-05,-0.0002438419858048068,0.0004176594696786881,0.0002673402116069428,-3.733031649426927e-05,0.0005846461650201993,-0.00016875971419497984,-0.0002959007549205146,-3.954389094097149e-05,0.0002526067892017821,10,20,2
holdout_2015_2026,9966,0.6096728878185832,2.0,0.001779471167733106,-0.006846860372090557,0.010582188176745588,0.0004668591224211112,-0.0036282085232748483,0.004706795453958515,-0.0013126120453119954,-0.0064535341434627845,0.004077528497065957,-0.00013086977214619855,-0.0022929801779213482,0.001967707871005802,-0.0004038504572919815,-0.004133390067727113,0.0034517700556605255,-0.0017712265584540108,-0.008049532652968922,0.004637355004843848,-0.0015212135162887335,-0.007117586171729088,0.0041245273760795315,4.469169914036027e-05,-0.0003434399123181641,0.0004283106491960551,8.897355838665532e-05,-0.00034234301860452786,0.0005291094088372795,-0.0001716557670751113,-0.0003498937630625771,-2.553945274810067e-07,0.00021634746621547154,10,20,2
selection_2005_2014,4803,0.603372891942536,2.0,0.014259629106683174,0.005658628493092489,0.023468995424159162,0.005099551609583272,0.0001060346914537491,0.010422655245206379,-0.009160077497099902,-0.014075934970134554,-0.004566048195186252,-0.00238700553437412,-0.004174686943019266,-0.0006811483691849255,-0.004564010483553616,-0.0074293379627042005,-0.0017165849649130058,-0.011349737976017526,-0.01775670995032182,-0.0053069435623507135,-0.010625826039123836,-0.01550493270118551,-0.005728089824651632,0.00022057928324138406,-4.592909295297898e-06,0.00045456694975505493,0.00035649072766707937,0.00014146571232731225,0.0005867248856039791,-0.0001483538968212398,-0.00023505570562483473,-5.8926316404544056e-05,0.0003689331800626239,10,40,2
holdout_2015_2026,9966,0.6096728878185832,2.0,0.0012290980860752226,-0.012926742340962066,0.015492887110560667,0.0006235948264718225,-0.007115144910969929,0.008654854927043206,-0.0006055032596033993,-0.007700995432229203,0.006738352554599436,-0.00024354668912201892,-0.0023941212069202938,0.0018629311772538684,2.2330084585583493e-05,-0.0049092105636626355,0.004918793116748869,-0.0014108309512054524,-0.0103828482231065,0.0076936984669731,-0.001258373556364869,-0.009007104844632075,0.006753985754657056,2.8050863569278973e-05,-0.000310663949696953,0.0003737784510935213,3.072745215188053e-05,-0.0003231685585240517,0.00038732217776401667,-5.546258394177816e-05,-0.00014167620828729228,3.066259425437327e-05,8.351344751105714e-05,10,40,2
